date,time,repository,activity,description
2019-12-17,05:08:25,100-days-of-code,commit,Update to README.md file
2019-12-17,05:07:15,100-days-of-code,commit,Placing old files into an Archive folder
2019-12-17,05:06:54,100-days-of-code,commit,Update to README.md file
2018-01-30,03:48:06,100-days-of-code,commit,Updated file: updated README.md file
2018-01-30,03:47:32,100-days-of-code,commit,updated file: updated date error.
2018-01-28,04:24:55,100-days-of-code,commit,updated file: corrected date error.
2018-01-27,01:44:03,100-days-of-code,commit,"updated file: added logs for Days 017, 018, and 019."
2018-01-24,18:05:28,100-days-of-code,commit,updated file: updated date on latest log.
2018-01-24,17:27:29,100-days-of-code,commit,updated logs: added Day 016 to the Round 1 logs.
2018-01-23,02:35:49,100-days-of-code,commit,updated file: added logs for Days 013 through 015.
2018-01-19,16:31:53,100-days-of-code,commit,updated file: added logs for Day 011 and 012.
2018-01-18,03:23:34,100-days-of-code,commit,updated file: added Day 010 log.
2018-01-16,23:15:53,100-days-of-code,commit,updated file: added Day 009 to the round-one.md log.
2018-01-16,02:29:56,100-days-of-code,commit,updated files: added Day 008 log.
2018-01-15,03:43:12,100-days-of-code,commit,Merge branch 'master' of https://github.com/thejessicafelts/100-days-of-code
2018-01-15,03:43:00,100-days-of-code,commit,updated file: added Day 006 and 007 to the round-one.md log.
2018-01-14,04:29:28,100-days-of-code,commit,Updated file: removef project placeholders
2018-01-13,04:03:10,100-days-of-code,commit,updated file: Updated Log for Day 005
2018-01-11,16:38:09,100-days-of-code,commit,updated file: added new log for day 004.
2018-01-10,15:42:15,100-days-of-code,commit,updated file: updated log file for Day 003.
2018-01-09,15:06:34,100-days-of-code,commit,updated file: updated log file for social links to appear at top instead of bottom.
2018-01-09,15:02:29,100-days-of-code,commit,updated file: updated round-one log file for day 002.
2018-01-08,15:55:58,100-days-of-code,commit,updated file: updated round-one.md log file.
2018-01-08,15:39:21,100-days-of-code,commit,updated files: updated round-one.md log for day 001.
2018-01-08,15:19:11,100-days-of-code,commit,"updated files: updated README.md, deleted log.md, created logs folder with round-one.md file."
2018-01-08,15:12:59,100-days-of-code,commit,"updated files: updated README.md file, and added log.md file."
2018-01-07,03:45:19,100-days-of-code,commit,updated files: project setup in Eclipse for Java development.
2018-01-07,02:59:28,100-days-of-code,commit,new project: added project folder for project 001.
2018-01-06,03:40:35,100-days-of-code,commit,Updated file: updated README.md
2018-01-05,04:09:24,100-days-of-code,commit,Updated file: updated README.md
2018-01-04,03:04:34,100-days-of-code,commit,Updated file: updated README.md
2018-01-04,03:03:53,100-days-of-code,commit,Update file: updated README.md
2018-01-03,03:31:01,100-days-of-code,commit,Updated file: updated README.md file.
2018-01-02,03:41:45,100-days-of-code,commit,Updated file: updated README.md
2018-01-02,03:27:55,100-days-of-code,commit,Updated file: updated README.md
2018-01-02,03:26:51,100-days-of-code,commit,Updated file: updated README.md
2018-01-02,03:26:14,100-days-of-code,commit,Initial commit
2022-06-29,14:00:45,2020,commit,Merge pull request #13 from thejessicafelts/dependabot/npm_and_yarn/copy-props-2.0.5  Bump copy-props from 2.0.4 to 2.0.5
2021-08-13,22:11:03,2020,commit,Merge pull request #10 from thejessicafelts/dependabot/npm_and_yarn/path-parse-1.0.7  Bump path-parse from 1.0.6 to 1.0.7
2020-09-14,17:27:07,2020,commit,Adding CPT for tracking Open Source Contributions
2020-09-12,02:55:21,2020,commit,Incredibly rough beginning of The Loop
2020-09-08,02:16:57,2020,commit,Adding The Loop in Index file.
2020-09-06,18:37:07,2020,commit,"Adding Custom User Roles file, adding to functions"
2020-09-06,13:56:31,2020,commit,Added initial styles for Changelog
2020-09-06,13:56:22,2020,commit,Created Changelog Template page for reference
2020-09-06,13:56:07,2020,commit,Added Changelog CPT to CPT File
2020-09-06,03:10:08,2020,commit,Added White Label Customizations file
2020-09-04,21:14:05,2020,commit,Removing the Posts Default Post Type.
2020-09-04,21:03:13,2020,commit,Shortened Recommendations CPT menu name to fit.
2020-09-04,20:57:46,2020,commit,Added Videos CPT to the CPT File
2020-09-04,20:49:41,2020,commit,Added Tutorials CPT to the CPT File
2020-09-04,20:47:06,2020,commit,Added Recommendation CPT to the CPT File
2020-09-04,20:43:03,2020,commit,Added the Insights CPT to the CPT File
2020-09-04,20:39:14,2020,commit,Added Events CPT to the CPT File.
2020-09-04,02:57:00,2020,commit,Adding Education CPT to CPT File.
2020-09-02,16:21:20,2020,commit,Adding Alerts CPT
2020-09-02,16:15:27,2020,commit,Updates to the README.md file
2020-09-01,13:28:47,2020,commit,Updates to README.md files.
2020-09-01,13:27:42,2020,commit,Changes to README.md file.
2020-08-31,18:52:52,2020,commit,"Updates to README file, and gulpfile to inc README"
2020-08-30,04:17:00,2020,commit,Added Employers to CPT File
2020-08-30,03:19:20,2020,commit,Updates to Custom Post Types outline
2020-08-29,03:40:18,2020,commit,Updating Notes for Custom Post Types file
2020-08-29,03:09:35,2020,commit,"Updated Functions, +Includes; +Custom Post Types"
2020-08-29,03:07:48,2020,commit,"Updating Functions, +Error Handling"
2020-08-29,03:05:59,2020,commit,"Updating Functions, +Scripts, +Custom Menus"
2020-08-29,02:56:12,2020,commit,Initial Commit for CSS and SCSS Files
2020-08-29,02:55:57,2020,commit,Initial Commit for JS Files
2020-08-29,02:55:47,2020,commit,Initial Commit for Function Files
2020-08-29,02:55:36,2020,commit,Initial Commit for Index Files
2020-08-29,02:55:25,2020,commit,Initial Commit for Header Files
2020-08-29,02:55:07,2020,commit,Initial Commit for Footer Files
2020-08-28,03:48:00,2020,commit,"Updates to gulpfile, relating to styles"
2020-08-28,03:47:49,2020,commit,Updates to NPM packages
2020-08-28,03:04:47,2020,commit,Initial Commit of Files for WP Theme 2020.
2020-04-27,03:45:13,2020,commit,Initial commit
2020-09-08,15:21:51,2020,issue,Review Security Alert: Dependabot Alert for lodash.template
2020-09-08,15:20:50,2020,issue,Review Security Alert: Dependabot Alert for bl
2020-08-31,01:29:08,2020,issue,Update _themename
2025-02-07,09:17:24,2025,commit,Initial commit
2025-04-08,12:10:40,270toWin-Simulation-Automation,commit,Adding cover photo to README.md
2024-10-30,05:08:49,270toWin-Simulation-Automation,commit,Update to README.md
2024-10-30,05:03:16,270toWin-Simulation-Automation,commit,Current main file
2024-10-30,05:02:52,270toWin-Simulation-Automation,commit,Deleting old file
2024-10-30,05:02:05,270toWin-Simulation-Automation,commit,Data Visualization handling
2024-10-30,05:01:40,270toWin-Simulation-Automation,commit,Update html table handling
2024-10-30,05:01:30,270toWin-Simulation-Automation,commit,Update CSV file handler
2024-10-30,05:00:17,270toWin-Simulation-Automation,commit,Auto-Commit file
2024-10-30,04:58:23,270toWin-Simulation-Automation,commit,Data Formatting
2024-10-30,04:55:59,270toWin-Simulation-Automation,commit,Data Graph Images
2024-10-30,04:55:41,270toWin-Simulation-Automation,commit,Styling Updates + Data Visualization
2024-10-30,04:46:43,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-30 00:46:43
2024-10-30,04:34:50,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-30 00:34:50
2024-10-30,04:31:58,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-30 00:31:58
2024-10-30,04:27:05,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-30 00:27:05
2024-10-30,04:21:28,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-30 00:21:28
2024-10-30,04:14:54,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-30 00:14:54
2024-10-30,04:07:41,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-30 00:07:41
2024-10-30,03:58:43,270toWin-Simulation-Automation,commit,Updates to Format
2024-10-30,03:55:00,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-29 23:55:00
2024-10-30,03:33:11,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-29 23:33:11
2024-10-30,03:31:38,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-29 23:31:38
2024-10-30,03:28:55,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-29 23:28:55
2024-10-30,03:26:09,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-29 23:26:09
2024-10-30,03:22:21,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-29 23:22:21
2024-10-30,03:20:07,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-29 23:20:07
2024-10-30,03:13:53,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-29 23:13:53
2024-10-30,03:08:48,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-29 23:08:48
2024-10-30,03:03:16,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-29 23:03:16
2024-10-30,03:00:44,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-29 23:00:44
2024-10-30,02:44:34,270toWin-Simulation-Automation,commit,Automatic update on 2024-10-29 22:44:34
2024-10-30,02:39:50,270toWin-Simulation-Automation,commit,New Results
2024-10-30,02:39:30,270toWin-Simulation-Automation,commit,New Results
2024-10-30,02:29:40,270toWin-Simulation-Automation,commit,New Results
2024-10-30,02:26:42,270toWin-Simulation-Automation,commit,New Results
2024-10-30,02:24:32,270toWin-Simulation-Automation,commit,New Results
2024-10-30,02:17:35,270toWin-Simulation-Automation,commit,New Results
2024-10-30,02:12:28,270toWin-Simulation-Automation,commit,New Results
2024-10-30,02:07:34,270toWin-Simulation-Automation,commit,New Results
2024-10-30,02:03:06,270toWin-Simulation-Automation,commit,Updating terminology
